Time, T, CJC, PV, PSI, 15:03:2021
13:31:34,16.87,10001,0.004,-0.186,
13:31:35,16.87,15.5,0.004,-0.186,
13:31:36,16.87,10001,0.004,-0.186,
13:31:37,16.87,10001,0.004,-0.186,
13:31:38,16.87,10002,0.004,-0.186,
13:31:39,16.87,10002,0.009,0.012,
13:31:40,16.87,15.5,0.004,-0.186,
13:31:41,16.87,15.5,0.014,0.21,
13:31:42,16.87,10002,0.009,0.012,
13:31:43,16.87,15.5,0.009,0.012,
13:31:44,16.87,15.25,0.009,0.012,
13:31:45,16.87,10001,0.004,-0.186,
13:31:46,16.81,10001,0.004,-0.186,
13:31:47,16.87,15.5,0.004,-0.186,
13:31:48,16.87,15.25,0.004,-0.186,
13:31:49,16.87,10001,0.004,-0.186,
13:31:50,16.87,10001,0.014,0.21,
13:31:51,16.87,15.5,0.009,0.012,
13:31:52,16.87,10001,0.014,0.21,
13:31:53,16.87,10001,0.004,-0.186,
13:31:54,16.87,15.5,0.004,-0.186,
13:31:55,16.81,15,0.009,0.012,
13:31:56,16.81,10001,0.009,0.012,
13:31:57,16.87,10002,0.004,-0.186,
13:31:58,16.87,10002,0.014,0.21,
13:31:59,16.87,14.75,0.014,0.21,
13:32:00,16.87,14.75,0.009,0.012,
13:32:01,16.87,10002,0.009,0.012,
13:32:02,16.87,10002,0.004,-0.186,
13:32:03,16.87,15.5,0.004,-0.186,
13:32:04,16.87,15,0.009,0.012,
13:32:05,16.87,10002,0.004,-0.186,
13:32:06,16.87,14.5,0.009,0.012,
13:32:07,16.87,14.5,0.009,0.012,
13:32:08,16.87,10001,0.004,-0.186,
13:32:09,16.87,10001,0.009,0.012,
13:32:10,16.87,15.5,0.009,0.012,
13:32:11,16.87,14.75,0.004,-0.186,
13:32:12,16.87,10001,0.004,-0.186,
13:32:13,16.87,14.75,0.009,0.012,
13:32:14,16.87,15,0.009,0.012,
13:32:15,16.87,10001,0.004,-0.186,
13:32:16,16.87,10001,0.004,-0.186,
13:32:17,16.87,15,0.004,-0.186,
13:32:18,16.87,14.75,0.009,0.012,
13:32:19,16.94,10001,0.014,0.21,
13:32:20,16.87,10001,0.004,-0.186,
13:32:21,16.87,15.5,0.004,-0.186,
13:32:22,16.87,10001,0.004,-0.186,
13:32:23,16.87,10001,0.004,-0.186,
13:32:24,16.87,14.5,0.004,-0.186,
13:32:25,16.87,14.5,0.009,0.012,
13:32:26,16.87,10001,0.009,0.012,
13:32:27,16.87,10001,0.014,0.21,
13:32:28,16.94,10002,0.004,-0.186,
13:32:29,16.87,15.5,0.009,0.012,
13:32:30,16.87,15.5,0.009,0.012,
13:32:31,16.87,10002,0.009,0.012,
13:32:32,16.87,10002,0.014,0.21,
13:32:33,16.87,14.5,0.014,0.21,
13:32:34,16.87,14.75,0.009,0.012,
13:32:35,16.94,10002,0.004,-0.186,
13:32:36,16.87,10002,0.009,0.012,
13:32:37,16.87,15,0.004,-0.186,
13:32:38,16.87,10001,0.004,-0.186,
13:32:39,16.94,10001,0.014,0.21,
13:32:40,16.87,15.5,0.014,0.21,
13:32:41,16.94,15.25,0.004,-0.186,
13:32:42,16.87,10001,0.009,0.012,
13:32:44,16.87,10001,0.004,-0.186,
13:32:45,16.94,15.5,0.009,0.012,
13:32:46,16.87,10001,0.009,0.012,
13:32:47,16.94,10001,0.009,0.012,
13:32:48,16.87,10002,0.004,-0.186,
13:32:49,16.87,10002,0.004,-0.186,
13:32:50,16.94,15.5,0.014,0.21,
13:32:51,16.87,15.25,0.004,-0.186,
13:32:52,16.87,10002,0.014,0.21,
13:32:53,16.87,10002,0.009,0.012,
13:32:54,16.94,15.25,0.004,-0.186,
13:32:55,16.94,10001,0.009,0.012,
13:32:56,16.94,10001,0.014,0.21,
13:32:57,16.94,15.5,0.009,0.012,
13:32:58,16.87,15.25,0.004,-0.186,
13:32:59,16.87,10001,0.009,0.012,
13:33:00,16.94,10001,0.009,0.012,
13:33:01,16.94,15.25,0.014,0.21,
13:33:02,16.87,10001,0.009,0.012,
13:33:03,16.87,10001,0.014,0.21,
13:33:04,16.94,14.5,0.004,-0.186,
13:33:05,16.94,14.75,0.004,-0.186,
13:33:06,16.94,10001,0.009,0.012,
13:33:07,16.94,10001,0.014,0.21,
13:33:08,16.94,10002,0.014,0.21,
13:33:09,16.94,10002,0.004,-0.186,
13:33:10,16.94,15.5,0.009,0.012,
13:33:11,16.94,10002,0.004,-0.186,
13:33:12,16.94,10002,0.004,-0.186,
13:33:13,16.94,14.5,0.009,0.012,
13:33:14,16.94,14.5,0.004,-0.186,
13:33:15,16.94,10002,0.009,0.012,
13:33:16,16.94,10002,0.014,0.21,
13:33:17,16.94,14.5,0.014,0.21,
13:33:18,16.87,10001,0.009,0.012,
13:33:19,16.94,10001,0.009,0.012,
13:33:20,16.94,14.75,0.009,0.012,
13:33:21,16.94,14.5,0.014,0.21,
13:33:22,16.94,10001,0.009,0.012,
13:33:23,16.94,10001,0.014,0.21,
13:33:24,16.94,14.5,0.009,0.012,
13:33:25,16.94,14.5,0.004,-0.186,
13:33:26,16.94,10001,0.009,0.012,
13:33:27,16.94,10002,0.009,0.012,
13:33:28,16.94,10002,0.009,0.012,
13:33:29,16.94,15.25,0.009,0.012,
13:33:30,16.94,15.5,0.009,0.012,
13:33:31,16.94,0,0.004,-0.186,
13:33:32,16.94,10001,0.004,-0.186,
13:33:33,16.94,15.5,0.009,0.012,
13:33:34,16.94,10001,0.009,0.012,
13:33:35,16.94,10001,0.004,-0.186,
13:33:36,16.94,15.25,0.004,-0.186,
13:33:37,16.94,15.25,0.014,0.21,
13:33:38,16.94,10001,0.004,-0.186,
13:33:39,16.94,10001,0.004,-0.186,
13:33:40,16.94,10002,0.004,-0.186,
13:33:41,16.94,15.25,0.009,0.012,
13:33:42,16.94,15.25,0.009,0.012,
13:33:43,16.94,10002,0.014,0.21,
13:33:44,16.94,10002,0.004,-0.186,
13:33:45,16.94,15.25,0.009,0.012,
13:33:46,16.94,14.75,0.004,-0.186,
13:33:47,16.94,10002,0.009,0.012,
13:33:48,17,14.5,0.009,0.012,
13:33:49,16.94,14.5,0.009,0.012,
13:33:50,16.94,10001,0.009,0.012,
13:33:51,17,10001,0.004,-0.186,
13:33:52,16.94,15.5,0.014,0.21,
13:33:53,16.94,15.25,0.014,0.21,
13:33:54,17,10001,0.014,0.21,
13:33:55,16.94,10001,0.004,-0.186,
13:33:56,17,14.5,0.009,0.012,
13:33:57,16.94,10001,0.009,0.012,
13:33:58,16.94,10001,0.004,-0.186,
13:33:59,16.94,15.5,0.009,0.012,
13:34:00,17,15.5,0.009,0.012,
13:34:01,16.94,10001,0.014,0.21,
13:34:02,17,10001,0.009,0.012,
13:34:03,17,15,0.004,-0.186,
13:34:04,16.94,10001,0.004,-0.186,
13:34:05,16.94,10001,0.009,0.012,
13:34:06,16.94,10002,0.009,0.012,
13:34:07,17,10002,0.009,0.012,
13:34:08,17,15.25,0.009,0.012,
13:34:09,17,15.5,0.014,0.21,
13:34:10,16.94,10002,0.014,0.21,
13:34:11,17,10002,0.009,0.012,
13:34:12,16.94,15,0.004,-0.186,
13:34:13,17,10002,0.014,0.21,
13:34:14,17,10002,0.009,0.012,
13:34:15,17,14.5,0.004,-0.186,
13:34:16,17,14.5,0.009,0.012,
13:34:17,17,10001,0.009,0.012,
13:34:18,16.94,10001,0.009,0.012,
13:34:19,17,15.25,0.004,-0.186,
13:34:20,16.94,10001,0.009,0.012,
13:34:21,17,10001,0.014,0.21,
13:34:22,17,15.5,0.004,-0.186,
13:34:23,17,15.5,0.009,0.012,
13:34:24,17,10001,0.009,0.012,
13:34:25,17,10001,0.009,0.012,
13:34:26,17,10002,0.014,0.21,
13:34:27,17,10002,0.009,0.012,
13:34:28,17,15.25,0.014,0.21,
13:34:29,17,10002,0.004,-0.186,
13:34:30,17,10002,0.009,0.012,
13:34:31,17,14.75,0.004,-0.186,
13:34:32,17,14.5,0.004,-0.186,
13:34:33,17,10001,0.009,0.012,
13:34:34,17,10001,0.009,0.012,
13:34:35,17,14.75,0.004,-0.186,
13:34:36,17,10001,0.009,0.012,
13:34:37,17,10001,0.014,0.21,
13:34:38,17.06,15.25,0.009,0.012,
13:34:40,17,10002,0.004,-0.186,
13:34:41,17,15.5,0.009,0.012,
13:34:42,17,15.25,0.009,0.012,
13:34:43,17,10002,0.009,0.012,
13:34:44,17.06,10002,0.014,0.21,
13:34:45,17,15.5,0.009,0.012,
13:34:46,17,0,0.009,0.012,
13:34:47,17,0,0.009,0.012,
13:34:48,17,15.25,0.009,0.012,
13:34:49,17,15.5,0.009,0.012,
13:34:50,17,10001,0.004,-0.186,
13:34:51,17,10001,0.004,-0.186,
13:34:52,17,15.25,0.014,0.21,
13:34:53,17.06,10001,0.004,-0.186,
13:34:54,17,10001,0.004,-0.186,
13:34:55,17,10002,0.004,-0.186,
13:34:56,17,10002,0.009,0.012,
13:34:57,17,14.5,0.009,0.012,
13:34:58,17,14.5,0.014,0.21,
13:34:59,17,10002,0.009,0.012,
13:35:00,17,10002,0.009,0.012,
13:35:01,17,14.5,0.004,-0.186,
13:35:02,17,10001,0.004,-0.186,
13:35:03,17,10001,0.009,0.012,
13:35:04,17,15.25,0.009,0.012,
13:35:05,17,15.5,0.009,0.012,
13:35:06,17,10001,0.009,0.012,
13:35:07,17,10002,0.009,0.012,
13:35:08,17,10002,0.009,0.012,
13:35:09,17,14.5,0.009,0.012,
13:35:10,17,14.5,0.009,0.012,
13:35:11,17,10002,0.009,0.012,
13:35:12,17,10002,0.004,-0.186,
13:35:13,17,15,0.004,-0.186,
13:35:14,17.06,15,0.009,0.012,
13:35:15,17.06,10001,0.009,0.012,
13:35:16,17,15.5,0.004,-0.186,
13:35:17,17,15.25,0.009,0.012,
13:35:18,17,10001,0.004,-0.186,
13:35:19,17.06,10001,0.014,0.21,
13:35:20,17,10002,0.004,-0.186,
13:35:21,17.06,14.5,0.009,0.012,
13:35:22,17.06,14.75,0.009,0.012,
13:35:23,17,10002,0.004,-0.186,
13:35:24,17.06,10002,0.014,0.21,
13:35:25,17.06,15.25,0.004,-0.186,
13:35:26,17.06,15.5,0.014,0.21,
13:35:27,17.06,10001,0.009,0.012,
13:35:28,17.06,10001,0.009,0.012,
13:35:29,17.06,14.75,0.004,-0.186,
13:35:30,17.06,10001,0.009,0.012,
13:35:31,17.06,10001,0.009,0.012,
13:35:32,17.06,10002,0.014,0.21,
13:35:33,17.06,10002,0.004,-0.186,
13:35:34,17,15,0.009,0.012,
13:35:35,17.06,15,0.009,0.012,
13:35:36,17,0,0.009,0.012,
13:35:37,17,0,0.009,0.012,
13:35:38,17.06,15.25,0.009,0.012,
13:35:39,17.06,10001,0.009,0.012,
13:35:40,17.06,10001,0.009,0.012,
13:35:41,17.06,15.5,0.009,0.012,
13:35:42,17.06,15.25,0.004,-0.186,
13:35:43,17.06,10001,0.009,0.012,
13:35:44,17.06,10001,0.014,0.21,
13:35:45,17.06,10002,0.009,0.012,
13:35:46,17.06,15.5,0.009,0.012,
13:35:47,17.06,15,0.009,0.012,
13:35:48,17,10002,0.009,0.012,
13:35:49,17.06,10002,0.009,0.012,
13:35:50,17.06,15.25,0.009,0.012,
13:35:51,17.06,15,0.009,0.012,
13:35:52,17.06,10001,0.004,-0.186,
13:35:53,17.06,10001,0.004,-0.186,
13:35:54,17.06,15.5,0.004,-0.186,
13:35:55,17.06,10001,0.004,-0.186,
13:35:56,17.06,10001,0.014,0.21,
13:35:57,17.06,15.5,0.009,0.012,
13:35:58,17.06,15.5,0.009,0.012,
13:35:59,17.06,10001,0.009,0.012,
13:36:00,17.06,10001,0.014,0.21,
13:36:01,17.06,15.25,0.009,0.012,
13:36:02,17.06,10001,0.009,0.012,
13:36:03,17.06,10001,0.009,0.012,
13:36:04,17.06,10002,0.009,0.012,
13:36:05,17.06,10002,0.009,0.012,
13:36:06,17.06,14.5,0.009,0.012,
13:36:07,17.06,14.5,0.004,-0.186,
13:36:08,17.06,10002,0.014,0.21,
13:36:09,17.06,10002,0.009,0.012,
13:36:10,17.06,14.5,0.004,-0.186,
13:36:11,17.06,10001,0.014,0.21,
13:36:12,17.06,10001,0.004,-0.186,
13:36:13,17.06,14.5,0.009,0.012,
13:36:14,17.06,14.5,0.004,-0.186,
13:36:15,17.06,10001,0.014,0.21,
13:36:16,17.06,10001,0.004,-0.186,
13:36:17,17.12,14.75,0.009,0.012,
13:36:18,17.06,10001,0.009,0.012,
13:36:19,17.06,15.5,0.004,-0.186,
13:36:20,17.06,10002,0.009,0.012,
13:36:21,17.12,10002,0.004,-0.186,
13:36:22,17.12,15,0.009,0.012,
13:36:23,17.06,14.75,0.009,0.012,
13:36:24,17.06,10001,0.009,0.012,
13:36:25,17.06,10001,0.014,0.21,
13:36:26,17.12,15.25,0.009,0.012,
13:36:27,17.06,10001,0.009,0.012,
13:36:28,17.12,10001,0.009,0.012,
13:36:29,17.06,10002,0.004,-0.186,
13:36:30,17.12,10002,0.004,-0.186,
13:36:31,17.12,14.5,0.004,-0.186,
13:36:32,17.06,14.5,0.009,0.012,
13:36:33,17.06,10002,0.004,-0.186,
13:36:34,17.06,15.25,0.004,-0.186,
13:36:36,17.06,15.25,0.009,0.012,
13:36:37,17.06,10001,0.004,-0.186,
13:36:38,17.12,10001,0.009,0.012,
13:36:39,17.12,14.5,0.009,0.012,
13:36:40,17.12,14.5,0.004,-0.186,
13:36:41,17.12,10001,0.009,0.012,
13:36:42,17.06,14.5,0.004,-0.186,
13:36:43,17.12,10002,0.014,0.21,
13:36:44,17.12,15.25,0.004,-0.186,
13:36:45,17.12,15.25,0.009,0.012,
13:36:46,17.06,10001,0.009,0.012,
13:36:47,17.06,10001,0.014,0.21,
13:36:48,17.12,15,0.014,0.21,
13:36:49,17.06,14.75,0.009,0.012,
13:36:50,17.12,10001,0.014,0.21,
13:36:51,17.12,14.5,0.014,0.21,
13:36:52,17.12,14.5,0.004,-0.186,
13:36:53,17.12,10001,0.014,0.21,
13:36:54,17.06,15.25,0.009,0.012,
13:36:55,17.12,10002,0.004,-0.186,
13:36:56,17.12,10002,0.004,-0.186,
13:36:57,17.12,15.25,0.009,0.012,
13:36:58,17.12,15,0.004,-0.186,
13:36:59,17.12,10001,0.004,-0.186,
13:37:00,17.12,14.5,0.009,0.012,
13:37:01,17.06,15,0.004,-0.186,
13:37:02,17.12,10001,0.009,0.012,
13:37:03,17.12,10001,0.014,0.21,
13:37:04,17.12,10002,0.004,-0.186,
13:37:05,17.12,14.5,0.004,-0.186,
13:37:06,17.12,15.25,0.014,0.21,
13:37:07,17.12,0,0.009,0.012,
13:37:08,17.06,10001,0.014,0.21,
13:37:09,17.12,14.5,0.014,0.21,
13:37:10,17.12,15,0.004,-0.186,
13:37:11,17.12,10001,0.014,0.21,
13:37:12,17.12,10001,0.009,0.012,
13:37:13,17.12,10002,0.009,0.012,
13:37:14,17.12,14.5,0.004,-0.186,
13:37:15,17.12,14.75,0.009,0.012,
13:37:16,17.12,10002,0.004,-0.186,
13:37:17,17.06,0,0.004,-0.186,
13:37:18,17.12,15.5,0.004,-0.186,
13:37:19,17.12,15.25,0.009,0.012,
13:37:20,17.12,10001,0.009,0.012,
13:37:21,17.12,15,0.009,0.012,
13:37:22,17.12,14.5,0.009,0.012,
13:37:23,17.12,10001,0.004,-0.186,
13:37:24,17.12,10001,0.004,-0.186,
13:37:25,17.12,10002,0.009,0.012,
13:37:26,17.12,10002,0.009,0.012,
13:37:27,17.12,15.5,0.009,0.012,
13:37:28,17.12,15.25,0.004,-0.186,
13:37:29,17.12,10001,0.009,0.012,
13:37:30,17.12,14.5,0.004,-0.186,
13:37:31,17.12,14.75,0.004,-0.186,
13:37:32,17.12,10001,0.014,0.21,
13:37:33,17.19,10001,0.014,0.21,
13:37:34,17.12,10002,0.009,0.012,
13:37:35,17.12,10002,0.004,-0.186,
13:37:36,17.12,14.25,0.004,-0.186,
13:37:37,17.12,14.5,0.004,-0.186,
13:37:38,17.12,10002,0.014,0.21,
13:37:39,17.12,14.75,0.004,-0.186,
13:37:40,17.19,15.25,0.009,0.012,
13:37:41,17.12,10001,0.014,0.21,
13:37:42,17.12,10001,0.009,0.012,
13:37:43,17.12,15,0.009,0.012,
13:37:44,17.12,14.75,0.009,0.012,
13:37:45,17.12,10001,0.004,-0.186,
13:37:46,17.19,10002,0.009,0.012,
13:37:47,17.12,10002,0.009,0.012,
13:37:48,17.12,15,0.004,-0.186,
13:37:49,17.19,15.25,0.009,0.012,
13:37:50,17.12,0,0.009,0.012,
13:37:51,17.12,10001,0.014,0.21,
13:37:52,17.12,15,0.009,0.012,
13:37:53,17.12,15,0.009,0.012,
13:37:54,17.12,10001,0.009,0.012,
13:37:55,17.12,14.5,0.014,0.21,
13:37:56,17.12,14.5,0.004,-0.186,
13:37:57,17.19,10001,0.009,0.012,
13:37:58,17.12,10001,0.009,0.012,
13:37:59,17.12,10002,0.004,-0.186,
13:38:00,17.12,10002,0.009,0.012,
13:38:01,17.19,15.25,0.009,0.012,
13:38:02,17.12,10001,0.009,0.012,
13:38:03,17.12,10001,0.004,-0.186,
13:38:04,17.12,14.5,0.009,0.012,
13:38:05,17.19,14.5,0.004,-0.186,
13:38:06,17.12,10001,0.009,0.012,
13:38:07,17.12,10001,0.009,0.012,
13:38:08,17.12,10002,0.004,-0.186,
13:38:09,17.12,15.25,0.014,0.21,
13:38:10,17.12,14.5,0.009,0.012,
13:38:11,17.19,10002,0.009,0.012,
13:38:12,17.12,0,0.009,0.012,
13:38:13,17.12,15.25,0.009,0.012,
13:38:14,17.19,14.5,0.004,-0.186,
13:38:15,17.19,10001,0.004,-0.186,
13:38:16,17.19,10001,0.009,0.012,
13:38:17,17.19,10002,0.009,0.012,
13:38:18,17.12,15.25,0.004,-0.186,
13:38:19,17.19,14.5,0.009,0.012,
13:38:20,17.19,10002,0.004,-0.186,
13:38:21,17.12,0,0.009,0.012,
13:38:22,17.19,15.5,0.004,-0.186,
13:38:23,17.12,15,0.009,0.012,
13:38:24,17.19,10001,0.009,0.012,
13:38:25,17.19,10001,0.004,-0.186,
13:38:26,17.12,10002,0.014,0.21,
13:38:27,17.19,15.25,0.014,0.21,
13:38:28,17.19,14.5,0.009,0.012,
13:38:29,17.12,10002,0.014,0.21,
13:38:30,17.12,0,0.009,0.012,
13:38:32,17.19,15.25,0.009,0.012,
13:38:33,17.12,14.75,0.009,0.012,
13:38:34,17.19,10001,0.009,0.012,
13:38:35,17.19,14.75,0.004,-0.186,
13:38:36,17.19,10002,0.009,0.012,
13:38:37,17.12,15.25,0.009,0.012,
13:38:38,17.12,14.5,0.014,0.21,
13:38:39,17.19,10002,0.014,0.21,
13:38:40,17.12,10002,0.004,-0.186,
13:38:41,17.12,15,0.004,-0.186,
13:38:42,17.12,15.25,0.014,0.21,
13:38:43,17.12,10001,0.004,-0.186,
13:38:44,17.19,15.25,0.009,0.012,
13:38:45,17.12,14.75,0.009,0.012,
13:38:46,17.12,10001,0.004,-0.186,
13:38:47,17.19,10001,0.009,0.012,
13:38:48,17.19,10002,0.004,-0.186,
13:38:49,17.19,14.5,0.014,0.21,
13:38:50,17.12,14.25,0.009,0.012,
13:38:51,17.19,10002,0.004,-0.186,
13:38:52,17.19,10002,0.009,0.012,
13:38:53,17.12,14.25,0.014,0.21,
13:38:54,17.12,14.25,0.009,0.012,
13:38:55,17.19,10001,0.009,0.012,
13:38:56,17.12,10001,0.009,0.012,
13:38:57,17.19,14.5,0.009,0.012,
13:38:58,17.19,10001,0.019,0.408,
13:38:59,17.12,10001,0.009,0.012,
13:39:00,17.19,14.5,0.009,0.012,
13:39:01,17.19,14.75,0.009,0.012,
13:39:02,17.12,10001,0.004,-0.186,
13:39:03,17.19,10001,0.009,0.012,
13:39:04,17.12,10002,0.014,0.21,
13:39:05,17.12,14.5,0.009,0.012,
13:39:06,17.19,14.5,0.004,-0.186,
13:39:07,17.19,10002,0.004,-0.186,
13:39:08,17.19,10002,0.004,-0.186,
13:39:09,17.19,14.25,0.004,-0.186,
13:39:10,17.19,14.5,0.004,-0.186,
13:39:11,17.19,10001,0.014,0.21,
13:39:12,17.12,14.5,0.009,0.012,
13:39:13,17.19,14.5,0.009,0.012,
13:39:14,17.19,10001,0.004,-0.186,
13:39:15,17.19,10001,0.009,0.012,
13:39:16,17.19,14.75,0.004,-0.186,
13:39:17,17.19,14.5,0.004,-0.186,
13:39:18,17.19,10001,0.039,1.201,
13:39:19,17.19,10001,0.048,1.598,
13:39:20,17.19,10002,0.039,1.201,
13:39:21,17.19,14.25,0.039,1.201,
13:39:22,17.19,14.75,0.034,1.003,
13:39:23,17.12,10002,0.029,0.805,
13:39:24,17.19,0,0.039,1.201,
13:39:25,17.19,15.25,0.029,0.805,
13:39:26,17.19,15.25,0.029,0.805,
13:39:27,17.19,10001,0.029,0.805,
13:39:28,17.19,14.5,0.034,1.003,
13:39:29,17.19,14.25,0.034,1.003,
13:39:30,17.12,10001,0.039,1.201,
13:39:31,17.19,15.25,0.029,0.805,
13:39:32,17.19,10002,0.034,1.003,
13:39:33,17.19,10002,0.029,0.805,
13:39:34,17.19,14.75,0.029,0.805,
13:39:35,17.12,14.25,0.034,1.003,
13:39:36,17.19,10001,0.029,0.805,
13:39:37,17.19,14.75,0.039,1.201,
13:39:38,17.19,15.25,0.029,0.805,
13:39:39,17.19,10001,0.034,1.003,
13:39:40,17.19,10001,0.039,1.201,
13:39:41,17.19,10002,0.039,1.201,
13:39:42,17.12,10002,0.034,1.003,
13:39:43,17.19,14.25,0.039,1.201,
13:39:44,17.19,14.5,0.029,0.805,
13:39:45,17.19,10002,0.034,1.003,
13:39:46,17.19,15.25,0.039,1.201,
13:39:47,17.19,15,0.034,1.003,
13:39:48,17.19,10001,0.029,0.805,
13:39:49,17.19,10001,0.029,0.805,
13:39:50,17.19,14.5,0.029,0.805,
13:39:51,17.12,10001,0.029,0.805,
13:39:52,17.19,10001,0.029,0.805,
13:39:53,17.19,10002,0.029,0.805,
13:39:54,17.19,10002,0.029,0.805,
13:39:55,17.19,15.25,0.029,0.805,
13:39:56,17.19,15.25,0.034,1.003,
13:39:57,17.12,10001,0.034,1.003,
13:39:58,17.12,10001,0.034,1.003,
13:39:59,17.19,14.25,0.034,1.003,
13:40:00,17.19,10001,0.029,0.805,
13:40:01,17.12,10001,0.029,0.805,
13:40:02,17.19,15,0.029,0.805,
13:40:03,17.19,10002,0.029,0.805,
13:40:04,17.19,15,0.034,1.003,
13:40:05,17.12,14.5,0.029,0.805,
13:40:06,17.19,10002,0.034,1.003,
13:40:07,17.19,14.5,0.034,1.003,
13:40:08,17.12,15.25,0.034,1.003,
13:40:09,17.19,10001,0.029,0.805,
13:40:10,17.12,10001,0.034,1.003,
13:40:11,17.19,14.25,0.029,0.805,
13:40:12,17.19,14.25,0.034,1.003,
13:40:13,17.19,15,0.029,0.805,
13:40:14,17.19,15.25,0.039,1.201,
13:40:15,17.19,10002,0.029,0.805,
13:40:16,17.12,14.75,0.029,0.805,
13:40:17,17.12,14.25,0.029,0.805,
13:40:18,17.19,10001,0.034,1.003,
13:40:19,17.19,10001,0.034,1.003,
13:40:20,17.12,15.25,0.029,0.805,
13:40:21,17.19,15.25,0.029,0.805,
13:40:22,17.19,10001,0.029,0.805,
13:40:23,17.19,10002,0.034,1.003,
13:40:24,17.19,10002,0.029,0.805,
13:40:25,17.12,14.75,0.029,0.805,
13:40:26,17.19,15.25,0.029,0.805,
13:40:28,17.19,0,0.029,0.805,
13:40:29,17.12,10001,0.034,1.003,
13:40:30,17.12,14.75,0.029,0.805,
13:40:31,17.12,10001,0.029,0.805,
13:40:32,17.19,10001,0.039,1.201,
13:40:33,17.19,14.5,0.029,0.805,
13:40:34,17.19,14.75,0.029,0.805,
13:40:35,17.19,15,0.029,0.805,
13:40:36,17.12,15,0.029,0.805,
